id;produto_id;DesPro;DesGru;PcoVen;PcoProm;QntProm;ativo;ordem;data_criacao;destaque
6783;6769;CANELA EM PO SAMAR 30G;MERCEARIA;4,99;0;0;0;6769;46156,94226;0
6790;6776;SEMORIN TIRA FERRUGEM 50ML;MERCEARIA;11,99;0;0;0;6776;46156,94226;0
6791;6777;PRATO DESCARTAVEL ZETTAPACK 21CM;HORT;3,99;0;0;0;6777;46156,94226;0
6794;6780;MACARRAO PIRAQUE ALDENTE PENA 400G;MASSAS, MOLHOS E CONDIMENTOS;5,99;0;0;0;6780;46156,94226;0
748;734;ACETONA FARMAX 100ML;PERFUMARIA;5,99;0;0;0;734;46156,94226;0
946;932;CHIMICHURRI SABOR 10G;SABOR;5,59;0;0;0;932;46156,94226;0
959;945;TOMILHO SABOR 10G;SABOR;3,89;0;0;0;945;46156,94226;0
961;947;VELA ESTRELINHA C/4;UTILIDADES;6,85;0;0;0;947;46156,94226;0
967;953;CERVEJA BRAHMA CHOPP 473ML;BEBIDAS;4,99;0;0;0;953;46156,94226;0
969;955;CERVEJA ANTARCTICA 473ML;BEBIDAS;4,99;0;0;0;955;46156,94226;0
969;955;CERVEJA ANTARCTICA 473ML;BEBIDAS;4,99;0;0;0;955;46156,94226;0
